"Label (Grouping)","HOUSEHOLD INCOME","HOUSEHOLD INCOME!!All households","HOUSEHOLD INCOME!!All households!!With earnings","HOUSEHOLD INCOME!!All households!!With earnings!!With wages or salary income","HOUSEHOLD INCOME!!All households!!With earnings!!With self-employment income","HOUSEHOLD INCOME!!All households!!With interest, dividends, or net rental income","HOUSEHOLD INCOME!!All households!!With Social Security income","HOUSEHOLD INCOME!!All households!!With Supplemental Security Income (SSI)","HOUSEHOLD INCOME!!All households!!With cash public assistance income or Food Stamps/SNAP","HOUSEHOLD INCOME!!All households!!With cash public assistance income or Food Stamps/SNAP!!With cash public assistance","HOUSEHOLD INCOME!!All households!!With retirement income","HOUSEHOLD INCOME!!All households!!With other types of income","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, both spouses worked","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, both spouses worked","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!White","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Black or African American","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!American Indian and Alaska Native","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Asian","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Native Hawaiian and Other Pacific Islander","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Some other race","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Hispanic or Latino origin (of any race)","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!White alone, not Hispanic or Latino"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","37,635","70.1%","66.8%","5.7%","11.1%","33.5%","4.9%","21.9%","2.6%","24.4%","7.6%","","24,008","20.8%","39.4%","22.5%","8.5%","7.8%","1.1%","","101,369","","48.3%","44.8%","0.1%","1.8%","0.0%","2.0%","2.9%","3.4%","47.7%"
"        Margin of Error","","±1,615","±3.3","±3.5","±1.9","±1.9","±3.1","±1.5","±3.7","±1.5","±3.9","±1.9","","±1,770","±4.0","±5.7","±4.5","±3.2","±3.0","±1.2","","±4,170","","±2.4","±2.3","±0.1","±0.5","±0.1","±1.4","±1.0","±1.0","±2.4"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","76,397","86,776","85,992","59,054","10,005","20,780","11,697","(X)","3,061","22,590","17,489","","92,449","44,527","82,276","148,027","87,948","106,486","158,817","","30,391","","39,707","20,915","N","36,142","N","N","24,311","18,539","40,022"
"        Margin of Error","","±5,617","±7,393","±7,850","±17,987","±4,631","±1,503","±1,945","(X)","±1,732","±4,363","±5,361","","±8,454","±8,980","±12,501","±33,529","±14,936","±16,095","±69,971","","±2,288","","±3,912","±2,987","N","±15,493","N","N","±8,653","±7,188","±3,988"
"Greenville County School District, South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","218,840","171,430","166,436","22,612","39,741","67,401","8,283","21,069","4,657","48,929","24,505","","145,345","22,301","49,551","48,376","13,171","9,222","2,724","","547,856","","363,581","87,635","4,161","13,874","0","29,312","49,293","57,187","359,626"
"        Margin of Error","","±2,967","±3,662","±3,727","±2,637","±2,871","±2,508","±1,539","±2,968","±1,261","±3,131","±2,715","","±4,000","±2,112","±3,642","±3,690","±1,891","±1,669","±953","","±4,387","","±4,258","±4,193","±1,871","±1,182","±226","±4,555","±5,874","±1,586","±4,139"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","218,840","78.3%","76.1%","10.3%","18.2%","30.8%","3.8%","9.6%","2.1%","22.4%","11.2%","","145,345","15.3%","34.1%","33.3%","9.1%","6.3%","1.9%","","547,856","","66.4%","16.0%","0.8%","2.5%","0.0%","5.4%","9.0%","10.4%","65.6%"
"        Margin of Error","","±2,967","±1.2","±1.3","±1.2","±1.3","±1.1","±0.7","±1.4","±0.6","±1.4","±1.2","","±4,000","±1.4","±2.3","±2.3","±1.3","±1.1","±0.7","","±4,387","","±0.5","±0.8","±0.3","±0.2","±0.1","±0.8","±1.1","±0.3","±0.5"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","95,837","94,274","91,113","44,092","37,898","23,214","9,554","(X)","5,093","26,449","14,026","","111,307","79,455","87,982","146,457","92,679","155,038","114,178","","38,955","","45,374","25,304","18,248","52,088","N","17,381","26,759","23,179","45,656"
"        Margin of Error","","±3,938","±3,999","±3,763","±8,758","±14,872","±830","±903","(X)","±1,663","±2,234","±2,176","","±4,791","±19,009","±6,334","±9,966","±10,723","±14,003","±22,167","","±1,556","","±2,166","±1,892","±7,188","±14,170","N","±4,454","±6,907","±6,299","±2,204"
"Horry County School District, South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","145,335","94,516","87,138","16,394","27,904","66,034","6,703","12,606","2,502","54,306","23,536","","93,028","26,439","32,513","19,707","6,805","5,034","2,530","","365,579","","282,144","44,655","733","4,249","122","6,682","26,994","23,188","278,814"
"        Margin of Error","","±3,779","±3,487","±3,483","±2,371","±2,732","±2,387","±1,239","±2,067","±994","±2,979","±2,973","","±4,164","±2,218","±2,793","±2,210","±1,279","±1,223","±945","","*****","","±3,014","±1,546","±309","±1,123","±159","±2,434","±3,605","*****","±2,185"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","145,335","65.0%","60.0%","11.3%","19.2%","45.4%","4.6%","8.7%","1.7%","37.4%","16.2%","","93,028","28.4%","34.9%","21.2%","7.3%","5.4%","2.7%","","365,579","","77.2%","12.2%","0.2%","1.2%","0.0%","1.8%","7.4%","6.3%","76.3%"
"        Margin of Error","","±3,779","±1.8","±1.8","±1.6","±1.9","±1.5","±0.9","±1.4","±0.7","±2.2","±2.0","","±4,164","±2.0","±2.6","±2.2","±1.4","±1.3","±1.0","","*****","","±0.8","±0.4","±0.1","±0.3","±0.1","±0.7","±1.0","*****","±0.6"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","72,953","67,507","66,181","37,428","21,839","23,848","11,372","(X)","7,358","28,587","16,609","","82,979","60,968","75,303","109,552","80,690","138,416","100,490","","31,114","","34,756","20,911","24,377","18,409","N","14,082","16,367","16,140","34,775"
"        Margin of Error","","±2,780","±3,539","±3,667","±6,137","±6,255","±926","±1,527","(X)","±4,371","±2,255","±1,860","","±3,926","±5,203","±8,326","±7,794","±8,958","±21,099","±28,600","","±1,163","","±1,499","±2,311","±11,342","±13,282","N","±5,229","±2,807","±3,886","±1,498"
"Kershaw County School District, South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","25,412","17,886","16,812","2,814","2,827","9,750","1,257","2,838","958","7,350","2,890","","16,912","N","N","N","N","N","N","","66,130","","44,979","14,709","43","231","0","2,492","3,676","N","N"
"        Margin of Error","","±1,126","±1,424","±1,607","±1,048","±671","±1,035","±718","±886","±542","±968","±731","","±1,463","N","N","N","N","N","N","","*****","","±1,106","±1,198","±54","±385","±226","±877","±1,282","N","N"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","25,412","70.4%","66.2%","11.1%","11.1%","38.4%","4.9%","11.2%","3.8%","28.9%","11.4%","","16,912","N","N","N","N","N","N","","66,130","","68.0%","22.2%","0.1%","0.3%","0.0%","3.8%","5.6%","N","N"
"        Margin of Error","","±1,126","±4.1","±5.1","±4.1","±2.7","±4.0","±2.8","±3.5","±2.1","±3.7","±2.9","","±1,463","N","N","N","N","N","N","","*****","","±1.7","±1.8","±0.1","±0.6","±0.3","±1.3","±1.9","N","N"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","65,839","69,787","68,308","35,473","4,920","20,205","7,135","(X)","2,801","21,848","14,443","","81,866","N","N","N","N","N","N","","25,964","","29,839","21,406","N","N","N","N","9,235","N","N"
"        Margin of Error","","±6,183","±8,387","±8,008","±15,757","±3,561","±2,025","±2,456","(X)","±1,501","±4,356","±4,396","","±8,030","N","N","N","N","N","N","","±2,502","","±3,061","±4,246","N","N","N","N","±5,126","N","N"
"Lancaster County School District, South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","38,570","27,479","27,017","2,773","8,495","14,986","1,232","2,926","578","12,329","3,253","","27,754","N","N","N","N","N","N","","100,336","","71,123","16,679","922","1,995","237","3,144","6,236","6,580","69,230"
"        Margin of Error","","±1,857","±1,975","±1,965","±1,193","±1,596","±1,310","±687","±1,007","±475","±1,860","±1,127","","±2,735","N","N","N","N","N","N","","*****","","±1,996","±2,173","±1,191","±343","±390","±2,186","±2,397","*****","±180"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","38,570","71.2%","70.0%","7.2%","22.0%","38.9%","3.2%","7.6%","1.5%","32.0%","8.4%","","27,754","N","N","N","N","N","N","","100,336","","70.9%","16.6%","0.9%","2.0%","0.2%","3.1%","6.2%","6.6%","69.0%"
"        Margin of Error","","±1,857","±3.5","±3.6","±3.0","±4.2","±3.5","±1.8","±2.5","±1.2","±4.9","±2.9","","±2,735","N","N","N","N","N","N","","*****","","±2.0","±2.2","±1.2","±0.3","±0.4","±2.2","±2.4","*****","±0.2"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","96,501","94,946","90,049","63,521","39,403","24,167","10,365","(X)","N","29,689","10,917","","106,985","N","N","N","N","N","N","","37,982","","40,374","26,853","N","75,066","N","57,436","25,359","27,263","41,145"
"        Margin of Error","","±9,834","±11,442","±10,748","±29,248","±17,158","±2,439","±4,038","(X)","N","±9,018","±3,168","","±10,317","N","N","N","N","N","N","","±3,582","","±4,172","±4,246","N","±64,557","N","±24,644","±12,659","±12,092","±4,340"
"Lexington School District 1, South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","55,070","43,829","42,025","6,573","8,635","17,354","2,190","4,630","963","14,035","5,737","","40,273","5,357","14,859","13,802","2,155","2,759","1,341","","147,551","","113,947","15,561","114","3,870","0","2,215","11,844","8,826","112,408"
"        Margin of Error","","±2,574","±2,509","±2,455","±1,457","±1,493","±1,872","±735","±1,129","±469","±1,636","±1,191","","±2,374","±959","±2,157","±1,884","±792","±920","±566","","±6,618","","±5,661","±3,796","±171","±1,183","±226","±1,000","±2,503","±2,265","±5,613"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","55,070","79.6%","76.3%","11.9%","15.7%","31.5%","4.0%","8.4%","1.7%","25.5%","10.4%","","40,273","13.3%","36.9%","34.3%","5.4%","6.9%","3.3%","","147,551","","77.2%","10.5%","0.1%","2.6%","0.0%","1.5%","8.0%","6.0%","76.2%"
"        Margin of Error","","±2,574","±2.7","±2.9","±2.6","±2.6","±3.4","±1.3","±2.1","±0.9","±2.8","±2.2","","±2,374","±2.4","±4.6","±4.3","±1.9","±2.3","±1.4","","±6,618","","±2.8","±2.4","±0.1","±0.8","±0.1","±0.7","±1.7","±1.5","±2.8"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","90,286","92,036","90,482","35,194","14,327","20,916","13,311","(X)","3,146","24,334","13,568","","101,646","53,357","78,949","134,496","106,710","145,053","110,513","","34,111","","36,199","24,612","N","42,888","N","27,835","24,561","23,022","36,135"
"        Margin of Error","","±5,274","±5,500","±5,368","±13,510","±5,710","±1,476","±2,226","(X)","±1,818","±2,995","±3,758","","±6,463","±9,306","±10,044","±9,428","±31,601","±21,212","±24,706","","±2,151","","±2,414","±4,009","N","±21,364","N","±11,748","±8,006","±4,703","±2,440"
"Lexington School District 2, South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","30,438","23,424","22,389","2,949","3,843","10,117","871","3,233","265","7,700","3,683","","16,265","3,054","5,268","4,600","1,780","1,420","143","","66,158","","43,292","16,328","229","1,059","0","355","4,895","4,015","42,979"
"        Margin of Error","","±2,194","±2,056","±2,027","±871","±839","±1,353","±518","±1,160","±253","±1,169","±991","","±2,078","±991","±1,138","±1,139","±683","±632","±174","","±6,007","","±4,735","±3,237","±331","±801","±226","±337","±1,833","±1,637","±4,737"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","30,438","77.0%","73.6%","9.7%","12.6%","33.2%","2.9%","10.6%","0.9%","25.3%","12.1%","","16,265","18.8%","32.4%","28.3%","10.9%","8.7%","0.9%","","66,158","","65.4%","24.7%","0.3%","1.6%","0.0%","0.5%","7.4%","6.1%","65.0%"
"        Margin of Error","","±2,194","±3.8","±4.1","±2.8","±2.9","±3.8","±1.7","±3.5","±0.8","±3.8","±3.1","","±2,078","±5.2","±5.7","±5.8","±4.0","±3.9","±1.1","","±6,007","","±4.7","±4.2","±0.5","±1.2","±0.3","±0.5","±2.6","±2.4","±4.6"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","68,674","65,065","64,495","27,158","12,988","22,108","11,802","(X)","N","28,343","17,279","","82,031","N","N","N","N","N","N","","32,101","","35,589","26,126","N","18,883","N","35,912","24,553","20,816","35,745"
"        Margin of Error","","±4,981","±4,646","±4,315","±11,493","±5,138","±1,998","±4,205","(X)","N","±7,373","±4,925","","±7,715","N","N","N","N","N","N","","±2,572","","±3,335","±4,779","N","±10,177","N","±10,350","±8,645","±8,162","±3,389"
"Lexington School District 5, South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","41,663","31,863","31,517","3,122","9,927","13,648","749","2,672","852","11,780","4,969","","27,394","4,865","6,870","10,048","2,810","2,094","707","","100,129","","69,887","18,672","96","3,710","0","3,021","4,743","4,532","69,655"
"        Margin of Error","","±2,662","±2,743","±2,755","±777","±1,541","±1,487","±468","±1,000","±615","±1,328","±1,215","","±2,518","±1,231","±1,551","±1,786","±869","±756","±497","","±7,987","","±6,561","±4,360","±100","±1,703","±226","±2,489","±1,611","±2,404","±6,581"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","41,663","76.5%","75.6%","7.5%","23.8%","32.8%","1.8%","6.4%","2.0%","28.3%","11.9%","","27,394","17.8%","25.1%","36.7%","10.3%","7.6%","2.6%","","100,129","","69.8%","18.6%","0.1%","3.7%","0.0%","3.0%","4.7%","4.5%","69.6%"
"        Margin of Error","","±2,662","±4.0","±4.1","±1.8","±3.5","±3.4","±1.1","±2.3","±1.5","±3.2","±2.8","","±2,518","±4.4","±4.9","±5.4","±3.1","±2.7","±1.8","","±7,987","","±4.2","±4.1","±0.1","±1.6","±0.2","±2.4","±1.6","±2.3","±4.2"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","96,667","96,659","94,431","33,201","12,790","25,679","6,276","(X)","2,355","34,192","12,211","","115,526","77,472","99,564","135,607","88,395","199,835","105,211","","41,125","","45,659","27,613","N","38,103","N","21,440","40,394","33,033","45,703"
"        Margin of Error","","±6,490","±7,133","±7,232","±13,480","±3,802","±1,914","±2,967","(X)","±1,654","±6,409","±3,688","","±8,521","±19,825","±13,089","±9,976","±19,940","±40,395","±27,658","","±2,723","","±3,562","±6,131","N","±11,870","N","±20,017","±13,058","±21,311","±3,558"
"Oconee County School District, South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","34,023","22,236","21,083","2,640","6,586","14,688","1,564","4,480","339","11,391","3,972","","23,321","N","N","N","N","N","N","","79,203","","67,583","3,950","234","123","0","1,894","5,419","4,702","66,198"
"        Margin of Error","","±1,677","±1,879","±1,938","±874","±1,104","±1,305","±700","±1,232","±284","±1,465","±1,346","","±2,014","N","N","N","N","N","N","","*****","","±1,242","±1,535","±221","±164","±226","±1,284","±1,518","*****","±295"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","34,023","65.4%","62.0%","7.8%","19.4%","43.2%","4.6%","13.2%","1.0%","33.5%","11.7%","","23,321","N","N","N","N","N","N","","79,203","","85.3%","5.0%","0.3%","0.2%","0.0%","2.4%","6.8%","5.9%","83.6%"
"        Margin of Error","","±1,677","±3.6","±4.0","±2.5","±3.5","±3.7","±2.1","±3.7","±0.8","±4.4","±4.0","","±2,014","N","N","N","N","N","N","","*****","","±1.6","±1.9","±0.3","±0.2","±0.3","±1.6","±1.9","*****","±0.4"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","73,686","74,640","69,408","74,386","18,031","22,825","8,586","(X)","N","29,086","11,809","","90,231","N","N","N","N","N","N","","31,613","","33,773","26,390","11,441","N","N","N","15,902","24,100","33,484"
"        Margin of Error","","±10,825","±16,183","±12,581","±67,025","±6,438","±1,735","±1,552","(X)","N","±4,966","±3,590","","±16,174","N","N","N","N","N","N","","±4,035","","±4,596","±8,300","±3,013","N","N","N","±6,139","±15,858","±4,480"
"Pickens County School District, South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","51,996","38,844","37,989","5,123","8,056","16,445","3,431","5,534","209","11,686","5,517","","32,034","4,732","10,837","10,617","2,938","2,243","667","","132,229","","112,871","5,580","369","2,557","82","1,790","8,980","5,737","111,179"
"        Margin of Error","","±1,673","±2,325","±2,377","±1,198","±1,316","±1,630","±1,112","±1,260","±193","±1,434","±1,322","","±2,134","±808","±1,549","±1,820","±1,096","±730","±440","","*****","","±1,371","±1,665","±362","±365","±141","±1,105","±2,097","*****","±609"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","51,996","74.7%","73.1%","9.9%","15.5%","31.6%","6.6%","10.6%","0.4%","22.5%","10.6%","","32,034","14.8%","33.8%","33.1%","9.2%","7.0%","2.1%","","132,229","","85.4%","4.2%","0.3%","1.9%","0.1%","1.4%","6.8%","4.3%","84.1%"
"        Margin of Error","","±1,673","±3.4","±3.6","±2.3","±2.6","±3.3","±2.1","±2.5","±0.4","±2.7","±2.5","","±2,134","±2.5","±4.6","±4.9","±3.3","±2.2","±1.4","","*****","","±1.0","±1.3","±0.3","±0.3","±0.1","±0.8","±1.6","*****","±0.5"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","71,451","67,437","65,165","28,105","30,715","20,679","9,277","(X)","N","33,567","15,190","","83,489","43,852","70,682","107,505","65,726","135,958","92,303","","28,761","","30,539","24,787","N","14,023","N","18,955","13,416","16,164","30,698"
"        Margin of Error","","±8,779","±5,201","±4,793","±10,028","±25,445","±1,647","±1,272","(X)","N","±16,246","±4,463","","±6,654","±9,478","±9,952","±11,022","±19,394","±25,229","±26,051","","±3,561","","±3,982","±13,849","N","±9,211","N","±15,940","±2,751","±4,690","±4,041"
"Richland School District 1, South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","84,253","64,771","62,717","6,847","12,602","23,943","4,770","13,086","1,598","17,019","13,649","","42,503","7,350","15,416","11,370","5,497","1,338","1,532","","208,683","","89,984","99,460","164","3,720","95","4,281","10,979","10,100","88,517"
"        Margin of Error","","±4,011","±4,155","±4,165","±1,341","±1,738","±2,134","±1,204","±1,648","±691","±1,945","±2,145","","±3,432","±1,300","±2,244","±1,820","±1,398","±528","±657","","±10,248","","±6,564","±8,106","±154","±1,161","±158","±2,332","±3,663","±2,755","±6,517"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","84,253","76.9%","74.4%","8.1%","15.0%","28.4%","5.7%","15.5%","1.9%","20.2%","16.2%","","42,503","17.3%","36.3%","26.8%","12.9%","3.1%","3.6%","","208,683","","43.1%","47.7%","0.1%","1.8%","0.0%","2.1%","5.3%","4.8%","42.4%"
"        Margin of Error","","±4,011","±2.4","±2.5","±1.5","±2.0","±2.4","±1.4","±2.1","±0.8","±2.2","±2.5","","±3,432","±2.9","±4.7","±3.5","±2.9","±1.2","±1.5","","±10,248","","±2.6","±2.7","±0.1","±0.5","±0.1","±1.1","±1.8","±1.3","±2.6"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","70,974","70,991","69,125","38,388","21,047","18,608","8,384","(X)","2,562","25,780","13,773","","91,962","58,256","61,848","153,869","69,067","170,197","111,080","","29,930","","41,624","20,938","N","39,498","N","19,326","16,975","16,733","41,753"
"        Margin of Error","","±5,062","±6,090","±5,966","±13,604","±7,796","±1,229","±1,203","(X)","±1,045","±3,034","±2,405","","±8,460","±15,808","±10,546","±21,257","±16,234","±42,226","±40,912","","±1,904","","±3,757","±2,057","N","±17,377","N","±8,713","±5,116","±5,246","±3,827"
"Richland School District 2, South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","61,462","49,737","48,562","4,837","7,064","15,996","2,116","5,536","1,027","16,969","13,311","","39,183","5,727","13,166","14,204","3,456","1,742","888","","147,383","","43,245","85,086","0","4,663","0","6,826","7,563","9,309","42,507"
"        Margin of Error","","±3,860","±3,553","±3,445","±1,385","±1,670","±2,248","±838","±1,761","±633","±2,625","±2,415","","±3,054","±1,184","±2,496","±2,873","±1,148","±781","±640","","±9,050","","±5,933","±7,903","±226","±1,926","±226","±2,279","±2,982","±2,320","±5,976"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","61,462","80.9%","79.0%","7.9%","11.5%","26.0%","3.4%","9.0%","1.7%","27.6%","21.7%","","39,183","14.6%","33.6%","36.3%","8.8%","4.4%","2.3%","","147,383","","29.3%","57.7%","0.0%","3.2%","0.0%","4.6%","5.1%","6.3%","28.8%"
"        Margin of Error","","±3,860","±3.2","±3.3","±2.3","±2.5","±3.3","±1.4","±2.8","±1.0","±4.3","±4.1","","±3,054","±3.3","±5.7","±6.1","±3.0","±2.0","±1.6","","±9,050","","±3.6","±3.8","±0.1","±1.3","±0.1","±1.6","±2.0","±1.6","±3.6"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","82,135","77,900","76,002","37,975","13,328","20,868","10,482","(X)","3,608","27,929","18,473","","100,061","68,995","88,435","111,301","95,855","205,764","102,013","","34,637","","46,549","29,502","N","35,998","N","31,687","26,117","32,009","47,099"
"        Margin of Error","","±6,139","±7,069","±6,388","±33,458","±5,406","±2,009","±3,272","(X)","±2,378","±5,158","±3,807","","±8,396","±16,723","±16,731","±11,043","±19,317","±49,735","±76,348","","±2,535","","±6,365","±2,519","N","±9,191","N","±14,536","±9,159","±10,103","±6,468"
"Spartanburg School District 2, South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","26,804","20,448","19,974","1,400","3,195","9,955","1,779","2,162","60","8,236","3,566","","18,817","N","N","N","N","N","N","","68,691","","53,464","6,206","519","1,374","37","3,331","3,760","N","N"
"        Margin of Error","","±2,574","±2,424","±2,379","±494","±810","±1,648","±1,034","±975","±102","±1,523","±1,080","","±2,384","N","N","N","N","N","N","","±7,624","","±6,265","±2,012","±767","±1,446","±63","±1,917","±1,534","N","N"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","26,804","76.3%","74.5%","5.2%","11.9%","37.1%","6.6%","8.1%","0.2%","30.7%","13.3%","","18,817","N","N","N","N","N","N","","68,691","","77.8%","9.0%","0.8%","2.0%","0.1%","4.8%","5.5%","N","N"
"        Margin of Error","","±2,574","±4.9","±4.8","±1.7","±3.0","±4.8","±3.7","±3.5","±0.4","±5.2","±3.9","","±2,384","N","N","N","N","N","N","","±7,624","","±4.3","±2.8","±1.1","±2.1","±0.1","±2.6","±2.2","N","N"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","71,960","71,424","70,915","31,433","21,957","19,821","11,022","(X)","N","15,737","14,433","","83,182","N","N","N","N","N","N","","28,109","","30,776","18,493","N","17,375","N","12,462","24,130","N","N"
"        Margin of Error","","±5,584","±6,677","±6,823","±12,777","±13,023","±2,222","±3,254","(X)","N","±4,144","±3,517","","±7,333","N","N","N","N","N","N","","±2,389","","±2,888","±5,201","N","±19,614","N","±4,233","±9,509","N","N"
"Spartanburg School District 6, South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","26,157","21,229","20,279","2,851","3,935","8,382","766","2,869","243","6,192","2,635","","19,201","2,907","7,750","4,480","2,874","1,013","177","","71,658","","40,478","20,225","350","2,946","93","1,704","5,862","6,600","39,201"
"        Margin of Error","","±2,118","±2,183","±2,149","±869","±885","±1,200","±390","±1,098","±222","±1,100","±851","","±2,137","±789","±1,604","±1,104","±970","±440","±157","","±6,703","","±5,841","±4,115","±553","±1,677","±156","±1,240","±2,597","±2,907","±5,714"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","26,157","81.2%","77.5%","10.9%","15.0%","32.0%","2.9%","11.0%","0.9%","23.7%","10.1%","","19,201","15.1%","40.4%","23.3%","15.0%","5.3%","0.9%","","71,658","","56.5%","28.2%","0.5%","4.1%","0.1%","2.4%","8.2%","9.2%","54.7%"
